|||||||||
4|Westeconk E|39.59874|74.22974|7/11/2012||27.2|27.5|9.41|136.1
4|Tuckerton W|39.57924|74.32362|7/11/2012||27.6|27.2|5.97|85.1
4|Tuckerton E|39.55717|74.25449|7/11/2012||28.3|26.8|6.06|92.1
|||||||||
5|Metedeconk W|40.0511|74.06446|7/26/2012|YSI 10 ft|24.6|24.9|6.17|85.7
5|Metedeconk E|40.04651|74.05354|7/26/2012||21.3|25.3|5.29|84.3
5|Silver Bay W|39.99204|74.11933|7/26/2012|Missing Box|17.8|25.7|6.89|91.6
5|Silver Bay E|39.99041|74.08521|7/26/2012||18.5|25.2|6.29|83.2
5|Toms River W|39.932261|74.10502|7/26/2012||20.7|25.6|6.1|77.5
5|Toms River E|39.92603|74.08453|7/26/2012||21.1|25.5|6.62|91.1
5|Forked River W|39.82143|74.15983|7/30/2012||27.4|28.4|4.7|69.5
5|Forked River E|39.81549|74.12281|7/30/2012||29.8|26.2|5.61|82
5|Double Creek E|39.78721|74.15408|7/30/2012||33|25.7|7.27|91.3
5|Double Creek W|39.78612|74.18266|7/30/2012|Box on rocks. Smashed clean. Redeployed|29.2|28.1|7.38|111.5
5|Harvey Cedars W|39.70029|74.16321|7/30/2012||27.4|26.7|4.75|78
5|Harvey Cedars E|39.6992|74.14602|7/30/2012||48.3|47.6|66|102.3
5|Westeconk W|39.61873|74.26254|7/30/2012|Box put back in water|27.2|26.9|4.85|71
5|Westeconk E|39.59846|74.23074|7/30/2012||29.1|27.7|6.76|1.03
5|Tuckerton W|39.57827|74.32489|7/30/2012||29.1|27|6.31|92.5
5|Tuckerton E|39.55682|74.25468|7/30/2012||30.4|26.7|6.2|89.4
|||||||||
6|Metedeconk W|40.05075|74.06492|8/7/2012||17.8|26.1|5.7|78.1
6|Metedeconk E|40.04644|74.05386|8/7/2012||20.2|27|5.14|84.7
6|Silver Bay W|39.99173|74.1209|8/7/2012||18|28.4|6.58|84.5
6|Silver Bay E|39.98951|74.08475|8/7/2012|Box Missing|19|27|5.66|79.1
6|Toms River W|39.9324|74.10988|8/7/2012|Box missing|15.2|27.3|6.74|88.3
6|Toms River E|39.92582|74.08472|8/7/2012||21.2|28.3|6.13|89.2
6|Forked River W|39.82123|74.15992|8/7/2012||28|29|5.6|86.5
6|Forked River E|39.81664|74.11206|8/7/2012||28.6|27.3|6.32|98.1
6|Double Creek E|39.78734|74.15457|8/7/2012||29.6|27.3|7.93|114.1
6|Double Creek W|39.78596|74.18285|8/7/2012||28.6|28.8|5.58|85.2
6|Harvey Cedars W|39.69995|74.16222|8/8/2012|Box Missing|29.1|27.2|6.82|93.4
6|Harvey Cedars E|39.69843|74.14618|8/8/2012||29.4|28.4|6.87|106
6|Westeconk W|39.62038|74.25994|8/8/2012||26.5|27.4|6.04|92.5
6|Westeconk E|39.59858|74.22945|8/8/2012||30.3|27.7|7.06|109
6|Tuckerton W|39.5783|74.32383|8/8/2012||29.1|27.6|6.67|94.6
6|Tuckerton E|39.55738|74.25405|8/8/2012||30.7|26.7|7.83|128.8
|||||||||
7|Metedeconk W|40.0508|74.06458|8/21/2012||20|28.3|6.27|82.4
7|Metedeconk E|40.04641|74.05341|8/21/2012||20.7|23.9|6.2|87
7|Silver Bay W|39.99194|74.11983|8/21/2012||17.3|26.4|6.39|87
7|Silver Bay E|39.9897|74.08372|8/21/2012||19|23.9|5.43|70.5
7|Toms River W|39.93211|74.10994|8/21/2012||18.9|24.5|6.06|80.7
7|Toms River E|39.9257|74.08504|8/21/2012||20.5|25|6.6|90.5
7|Forked River W|39.82124|74.15791|8/21/2012|Box Missing|28.8|26|5.29|76
7|Forked River E|39.81572|74.12141|8/21/2012||30|25|9.1|130
7|Double Creek E|39.78728|74.15469|8/21/2012||30.3|25.1|6.23|89.4
7|Double Creek W|39.78597|74.18219|8/21/2012||30.6|24.9|4.23|61
7|Harvey Cedars W|39.70101|74.16344|8/22/2012||28.5|26.4|5.4|81
7|Harvey Cedars E|39.69915|74.14609|8/22/2012||29.3|26|7.54|111.3
7|Westeconk W|39.6203|74.25977|8/22/2012|1 dead diamond back terripin/1 sick diamond back terripin|28.4|25|4.58|63.5
7|Westeconk E|39.59841|74.023019|8/22/2012||30.7|25|6.1|80.6
